,SVM,RF,GB
0,0.8665100802505382,0.8501337508971097,0.8616167547465257
1,0.8562667188621388,0.823057349774907,0.8279506752789195
2,0.8804723690219873,0.8694460755529458,0.8681738109219025
3,0.7543224375285443,0.7981013897044432,0.777223200887323
4,0.8644222613688262,0.8561362301820317,0.8510471716578586
5,0.8792327265609707,0.8537221896000522,0.8282768969791872
6,0.8302933673469388,0.8210459183673469,0.8227678571428572
7,0.8791135204081633,0.8519451530612244,0.8217474489795917
8,0.8577806122448979,0.8825892857142857,0.8515306122448979
9,0.8505102040816327,0.8485331632653061,0.844579081632653
