,SVM,RF,GB
0,0.5957446808510638,0.6808510638297872,0.6170212765957447
1,0.7021276595744681,0.5957446808510638,0.48936170212765956
2,0.6595744680851063,0.7446808510638298,0.48936170212765956
3,0.6808510638297872,0.723404255319149,0.7021276595744681
4,0.6595744680851063,0.8297872340425532,0.7659574468085106
5,0.7872340425531915,0.6808510638297872,0.574468085106383
6,0.717391304347826,0.7391304347826086,0.6521739130434783
7,0.6521739130434783,0.6956521739130435,0.6739130434782609
8,0.5869565217391305,0.5434782608695652,0.5
9,0.6304347826086957,0.6956521739130435,0.6086956521739131
