,SVM,RF,GB
0,0.7175572519083969,0.7557251908396947,0.7608142493638677
1,0.806615776081425,0.7837150127226463,0.7786259541984732
2,0.806615776081425,0.7913486005089059,0.7430025445292621
3,0.7709923664122137,0.7735368956743003,0.7506361323155216
4,0.7582697201017812,0.7404580152671756,0.7175572519083969
5,0.7684478371501272,0.7608142493638677,0.7557251908396947
6,0.7704081632653061,0.7780612244897959,0.7270408163265306
7,0.7755102040816326,0.75,0.7372448979591837
8,0.7653061224489796,0.7602040816326531,0.7576530612244898
9,0.7576530612244898,0.7423469387755102,0.7576530612244898
