Unnamed: 0,SVM,RF,GB,Arquivo,Dataset,Imputer,Métrica
0,0.6666666666666666,0.6666666666666666,0.6666666666666666,hosp1_MICE_sen.csv,1,MICE,Recall
1,0.5714285714285714,0.7142857142857143,0.1428571428571428,hosp1_MICE_sen.csv,1,MICE,Recall
2,0.5714285714285714,0.4285714285714285,0.7142857142857143,hosp1_MICE_sen.csv,1,MICE,Recall
3,0.7142857142857143,0.8571428571428571,0.7142857142857143,hosp1_MICE_sen.csv,1,MICE,Recall
4,0.5,0.8333333333333334,0.8333333333333334,hosp1_MICE_sen.csv,1,MICE,Recall
0,0.8205128205128205,0.7051282051282052,0.7948717948717948,hosp2_SAEI_sen.csv,2,SAEI,Recall
1,0.7974683544303798,0.8227848101265823,0.7848101265822784,hosp2_SAEI_sen.csv,2,SAEI,Recall
2,0.7848101265822784,0.7468354430379747,0.7468354430379747,hosp2_SAEI_sen.csv,2,SAEI,Recall
3,0.759493670886076,0.8354430379746836,0.810126582278481,hosp2_SAEI_sen.csv,2,SAEI,Recall
4,0.810126582278481,0.7848101265822784,0.7848101265822784,hosp2_SAEI_sen.csv,2,SAEI,Recall
0,0.6666666666666666,0.7916666666666666,0.7916666666666666,hosp4_PMIVAE_spe.csv,4,PMIVAE,Specificity
1,0.8333333333333334,0.7916666666666666,0.8333333333333334,hosp4_PMIVAE_spe.csv,4,PMIVAE,Specificity
2,0.4583333333333333,0.5,0.4583333333333333,hosp4_PMIVAE_spe.csv,4,PMIVAE,Specificity
3,0.6521739130434783,0.6086956521739131,0.7391304347826086,hosp4_PMIVAE_spe.csv,4,PMIVAE,Specificity
4,0.5652173913043478,0.5217391304347826,0.5652173913043478,hosp4_PMIVAE_spe.csv,4,PMIVAE,Specificity
0,0.6914893617021277,0.648936170212766,0.4787234042553192,hosp1_PMIVAE_spe.csv,1,PMIVAE,Specificity
1,0.7311827956989247,0.7311827956989247,0.6451612903225806,hosp1_PMIVAE_spe.csv,1,PMIVAE,Specificity
2,0.7526881720430108,0.6989247311827957,0.5698924731182796,hosp1_PMIVAE_spe.csv,1,PMIVAE,Specificity
3,0.6666666666666666,0.5806451612903226,0.4086021505376344,hosp1_PMIVAE_spe.csv,1,PMIVAE,Specificity
4,0.6559139784946236,0.6451612903225806,0.5053763440860215,hosp1_PMIVAE_spe.csv,1,PMIVAE,Specificity
0,0.7692307692307693,0.7564102564102564,0.7692307692307693,hosp2_Mean_sen.csv,2,Mean,Recall
1,0.7848101265822784,0.8227848101265823,0.7848101265822784,hosp2_Mean_sen.csv,2,Mean,Recall
2,0.7848101265822784,0.759493670886076,0.7848101265822784,hosp2_Mean_sen.csv,2,Mean,Recall
3,0.759493670886076,0.8354430379746836,0.7848101265822784,hosp2_Mean_sen.csv,2,Mean,Recall
4,0.8227848101265823,0.7468354430379747,0.759493670886076,hosp2_Mean_sen.csv,2,Mean,Recall
0,0.5,0.6666666666666666,0.6666666666666666,hosp1_PMIVAE_sen.csv,1,PMIVAE,Recall
1,0.5714285714285714,0.5714285714285714,0.4285714285714285,hosp1_PMIVAE_sen.csv,1,PMIVAE,Recall
2,0.5714285714285714,0.5714285714285714,0.5714285714285714,hosp1_PMIVAE_sen.csv,1,PMIVAE,Recall
3,0.7142857142857143,0.8571428571428571,0.7142857142857143,hosp1_PMIVAE_sen.csv,1,PMIVAE,Recall
4,0.5,0.8333333333333334,1.0,hosp1_PMIVAE_sen.csv,1,PMIVAE,Recall
0,0.6923076923076923,0.4615384615384615,0.6153846153846154,hosp4_SAEI_sen.csv,4,SAEI,Recall
1,0.5384615384615384,0.6153846153846154,0.4615384615384615,hosp4_SAEI_sen.csv,4,SAEI,Recall
2,0.4615384615384615,0.6923076923076923,0.6153846153846154,hosp4_SAEI_sen.csv,4,SAEI,Recall
3,0.7142857142857143,0.6428571428571429,0.6428571428571429,hosp4_SAEI_sen.csv,4,SAEI,Recall
4,0.6428571428571429,0.6428571428571429,0.5714285714285714,hosp4_SAEI_sen.csv,4,SAEI,Recall
0,0.7083333333333334,0.8333333333333334,0.7083333333333334,hosp4_MICE_spe.csv,4,MICE,Specificity
1,0.9166666666666666,0.875,0.7916666666666666,hosp4_MICE_spe.csv,4,MICE,Specificity
2,0.4166666666666667,0.5833333333333334,0.5833333333333334,hosp4_MICE_spe.csv,4,MICE,Specificity
3,0.6521739130434783,0.6086956521739131,0.6521739130434783,hosp4_MICE_spe.csv,4,MICE,Specificity
4,0.6521739130434783,0.6086956521739131,0.6521739130434783,hosp4_MICE_spe.csv,4,MICE,Specificity
0,0.782051282051282,0.7435897435897436,0.717948717948718,hosp2_KNN_sen.csv,2,KNN,Recall
1,0.7848101265822784,0.8227848101265823,0.8354430379746836,hosp2_KNN_sen.csv,2,KNN,Recall
2,0.759493670886076,0.7974683544303798,0.7721518987341772,hosp2_KNN_sen.csv,2,KNN,Recall
