,SVM,RF,GB
0,0.8461538461538461,0.7692307692307693,0.7435897435897436
1,0.7692307692307693,0.7435897435897436,0.6923076923076923
2,0.8717948717948718,0.8461538461538461,0.8205128205128205
3,0.5897435897435898,0.717948717948718,0.6153846153846154
4,0.8461538461538461,0.8205128205128205,0.8461538461538461
5,0.7692307692307693,0.717948717948718,0.7435897435897436
6,0.775,0.75,0.775
7,0.8,0.75,0.8
8,0.85,0.85,0.8
9,0.825,0.75,0.775
