,SVM,RF,GB
0,0.7446808510638298,0.7446808510638298,0.7730496453900709
1,0.6950354609929078,0.8368794326241135,0.5460992907801419
2,0.6099290780141844,0.9219858156028369,0.8156028368794327
3,0.8156028368794326,0.6879432624113475,0.6702127659574467
4,0.2836879432624113,0.574468085106383,0.5886524822695035
5,0.8581560283687943,0.801418439716312,0.7624113475177304
6,0.9021739130434783,0.8315217391304348,0.6875
7,0.6086956521739131,0.7282608695652173,0.36141304347826086
8,0.7880434782608696,0.8097826086956522,0.5570652173913044
9,0.7536231884057971,0.681159420289855,0.6014492753623188
