,SVM,RF,GB
0,0.8644875057088799,0.8374111045866771,0.8379983036471585
1,0.8543746330005872,0.8223396620343185,0.8275592092385986
2,0.8787107718405428,0.8746656227572257,0.8622039538070072
3,0.7647941541071311,0.7919357995693874,0.7665557512885758
4,0.8655314151497359,0.8494160631565212,0.8543093886605337
5,0.8729040255757814,0.8407385659294057,0.8435440725517062
6,0.8323979591836734,0.8131377551020409,0.8099489795918368
7,0.8388711734693877,0.8501594387755101,0.8488201530612245
8,0.8606505102040816,0.8637755102040816,0.8408163265306123
9,0.8476403061224489,0.8473214285714286,0.8376275510204081
