,SVM,RF,GB
0,0.6170212765957447,0.6808510638297872,0.6382978723404256
1,0.574468085106383,0.6595744680851063,0.5106382978723404
2,0.6382978723404256,0.7446808510638298,0.5106382978723404
3,0.7021276595744681,0.723404255319149,0.6170212765957447
4,0.6808510638297872,0.7659574468085106,0.7021276595744681
5,0.8085106382978723,0.6382978723404256,0.5106382978723404
6,0.6956521739130435,0.782608695652174,0.7391304347826086
7,0.6304347826086957,0.6956521739130435,0.6086956521739131
8,0.5869565217391305,0.5652173913043478,0.5434782608695652
9,0.5869565217391305,0.6521739130434783,0.5869565217391305
