,SVM,RF,GB
0,0.7175572519083969,0.7684478371501272,0.7531806615776081
1,0.7709923664122137,0.7888040712468194,0.7608142493638677
2,0.8193384223918575,0.7964376590330788,0.7404580152671756
3,0.7633587786259542,0.7760814249363868,0.7709923664122137
4,0.7557251908396947,0.727735368956743,0.7379134860050891
5,0.7684478371501272,0.7684478371501272,0.7608142493638677
6,0.7729591836734694,0.7704081632653061,0.7321428571428571
7,0.7576530612244898,0.7653061224489796,0.7602040816326531
8,0.7576530612244898,0.7678571428571429,0.7653061224489796
9,0.7448979591836735,0.75,0.7627551020408163
