,SVM,RF,GB
0,0.8650094604293078,0.8539831669602662,0.8511124159979122
1,0.8414888758400209,0.82423174789587,0.8363019508057676
2,0.8707509623540157,0.87241469302538,0.8485026423957721
3,0.7644026880668102,0.7955242382723298,0.7729496966138187
4,0.8648789717492007,0.8582892934037972,0.8744698897370653
5,0.8829516539440203,0.8569517844327004,0.8541136556403732
6,0.828890306122449,0.8216198979591837,0.8277423469387755
7,0.8263073979591836,0.8450255102040816,0.8505739795918368
8,0.8594387755102041,0.88125,0.8568239795918368
9,0.862436224489796,0.8593112244897959,0.8461734693877552
