KNN,LPMD,LPMD2,MICE,Mean,PMIVAE,SAEI
0.5851063829787234,0.6808510638297873,0.570921985815603,0.5921985815602837,0.6241134751773051,0.6063829787234044,0.670212765957447
0.7680237489397798,0.7752332485156913,0.734520780322307,0.7862595419847326,0.7794741306191687,0.784139100932994,0.7934690415606447
0.6795580110497236,0.6629834254143651,0.5248618784530387,0.703499079189687,0.6777163904235731,0.6777163904235727,0.7053406998158379
0.7916666666666664,0.75,0.8194444444444446,0.7499999999999997,0.722222222222222,0.7500000000000003,0.722222222222222
0.702508960573477,0.67741935483871,0.698924731182796,0.7168458781362009,0.6845878136200719,0.702508960573477,0.6953405017921149
0.7507430997876856,0.7681528662420383,0.7146496815286624,0.7579617834394904,0.7668789808917197,0.761783439490446,0.769851380042463
0.6243093922651933,0.6427255985267036,0.42909760589318596,0.627992633517495,0.6427255985267036,0.6279926335174953,0.6316758747697974
0.888888888888889,0.875,0.888888888888889,0.8611111111111113,0.847222222222222,0.8194444444444443,0.833333333333333
0.691756272401434,0.666666666666667,0.5555555555555557,0.724014336917563,0.6953405017921149,0.6738351254480289,0.702508960573477
0.7401273885350316,0.7490445859872613,0.7312101910828023,0.74140127388535,0.7426751592356687,0.7481953290870487,0.742250530785563
0.6813996316758747,0.674033149171271,0.591160220994475,0.681399631675875,0.6611418047882137,0.6593001841620626,0.666666666666667
0.5,0.513888888888889,0.5138888888888887,0.5277777777777777,0.5138888888888887,0.47222222222222204,0.5694444444444443
0.591397849462366,0.5985663082437277,0.5053763440860214,0.5878136200716849,0.5412186379928317,0.5519713261648747,0.5949820788530467
0.7685774946921443,0.7723991507430997,0.754140127388535,0.773248407643312,0.7800424628450107,0.7779193205944797,0.7762208067940554
0.648148148148148,0.685185185185185,0.39444444444444465,0.685185185185185,0.6814814814814815,0.6851851851851855,0.6722222222222224
0.6956521739130433,0.6666666666666666,0.7101449275362316,0.6376811594202897,0.608695652173913,0.6666666666666666,0.6956521739130433
0.670250896057348,0.6738351254480289,0.6200716845878139,0.627240143369176,0.616487455197133,0.602150537634409,0.648745519713262
0.7575371549893845,0.7770700636942677,0.673885350318471,0.7528662420382166,0.7588110403397027,0.7656050955414017,0.7435244161358813
0.7129629629629631,0.7166666666666667,0.5481481481481479,0.6944444444444446,0.7203703703703703,0.7166666666666667,0.7000000000000003
0.6231884057971017,0.565217391304348,0.7391304347826088,0.6376811594202897,0.4782608695652177,0.5507246376811596,0.6231884057971013
