KNN,LPMD,LPMD2,MICE,Mean,PMIVAE,SAEI
0.777777777777778,0.6111111111111113,0.6111111111111113,0.666666666666667,0.6111111111111113,0.6111111111111113,0.5
0.747863247863248,0.7606837606837606,0.7393162393162394,0.7393162393162394,0.7649572649572648,0.7606837606837603,0.7735042735042734
0.7327044025157236,0.7358490566037733,0.6289308176100626,0.7138364779874213,0.7169811320754716,0.726415094339623,0.7264150943396227
0.6153846153846153,0.5897435897435893,0.5897435897435893,0.615384615384615,0.6410256410256406,0.5641025641025637,0.5897435897435896
0.5238095238095236,0.476190476190476,0.5238095238095236,0.476190476190476,0.5238095238095236,0.5238095238095236,0.4285714285714283
0.8143459915611814,0.7848101265822783,0.8185654008438816,0.8059071729957807,0.7974683544303792,0.793248945147679,0.80168776371308
0.641509433962264,0.691823899371069,0.7138364779874213,0.6792452830188681,0.682389937106918,0.6761006289308172,0.7138364779874213
0.5897435897435896,0.5384615384615383,0.4871794871794874,0.6153846153846153,0.5897435897435893,0.5897435897435893,0.5384615384615383
0.6190476190476186,0.714285714285714,0.714285714285714,0.5714285714285713,0.714285714285714,0.571428571428571,0.5238095238095236
0.7763713080168776,0.7594936708860757,0.7974683544303797,0.7805907172995776,0.7763713080168774,0.7637130801687763,0.759493670886076
0.6539682539682543,0.6444444444444447,0.6698412698412697,0.6825396825396827,0.673015873015873,0.673015873015873,0.6603174603174603
0.641025641025641,0.7179487179487177,0.6923076923076924,0.7179487179487177,0.6666666666666664,0.564102564102564,0.5897435897435896
0.7619047619047615,0.714285714285714,0.8095238095238093,0.7619047619047615,0.7619047619047615,0.7619047619047615,0.6666666666666663
0.7974683544303797,0.7932489451476794,0.759493670886076,0.7805907172995781,0.7932489451476794,0.7932489451476794,0.8016877637130803
0.6477987421383647,0.650943396226415,0.7421383647798744,0.669811320754717,0.641509433962264,0.6477987421383647,0.6446540880503143
0.6190476190476186,0.619047619047619,0.5476190476190473,0.6428571428571427,0.6428571428571427,0.6190476190476186,0.6666666666666666
0.611111111111111,0.722222222222222,0.6666666666666666,0.722222222222222,0.722222222222222,0.7777777777777777,0.6111111111111113
0.7974683544303797,0.7805907172995781,0.8016877637130803,0.7974683544303792,0.7763713080168776,0.7848101265822783,0.793248945147679
0.6823899371069183,0.6792452830188681,0.669811320754717,0.7138364779874217,0.6572327044025157,0.6666666666666666,0.6666666666666666
0.7142857142857144,0.6428571428571427,0.595238095238095,0.6190476190476186,0.6190476190476186,0.619047619047619,0.619047619047619
