KNN,LPMD,LPMD2,MICE,Mean,PMIVAE,SAEI
0.7931442080378254,0.7432033096926713,0.7216312056737589,0.7198581560283687,0.774822695035461,0.7290189125295506,0.6749408983451537
0.835796307170353,0.8430438659446294,0.8243078662925992,0.840311759204889,0.8442209825797614,0.8436963093451645,0.8541816184945956
0.7746099586504047,0.7772855206921713,0.628392230445811,0.7734632892039337,0.775513395183988,0.774262483060565,0.7810556308419333
0.7638888888888887,0.7350427350427354,0.8205128205128207,0.7702991452991453,0.7403846153846153,0.7275641025641023,0.736111111111111
0.6295442908346133,0.6331285202252946,0.6428571428571429,0.6018945212493599,0.5993343573988733,0.6203277009728624,0.5908858166922683
0.8361256685210571,0.8335725227767478,0.8204466661291624,0.8381386223763067,0.836294982396732,0.83297589292913,0.829933618210648
0.7150005212133846,0.725893880954863,0.6082038986761177,0.7293686368532609,0.7146356718440527,0.7137148615309773,0.7322961186976613
0.7403846153846153,0.7446581196581197,0.626068376068376,0.7414529914529916,0.7350427350427351,0.7521367521367522,0.702991452991453
0.735279057859703,0.7603686635944701,0.6725550435227854,0.7342549923195086,0.7967229902713773,0.7380952380952382,0.6722990271377367
0.840928270042194,0.8363326077024373,0.8503829718616464,0.8449622403182028,0.8501787202021013,0.8428525356768524,0.8405412668977933
0.7269578181180391,0.7257213014119089,0.6777251600456019,0.7410681399631676,0.733271945979128,0.7299307199859686,0.731667105147768
0.6292735042735039,0.6618589743589746,0.558226495726496,0.642628205128205,0.6655982905982906,0.5801282051282053,0.6837606837606837
0.7163338453661036,0.7181259600614439,0.6833077316948284,0.7337429595494109,0.6991807475678447,0.7004608294930873,0.6776753712237583
0.859568921497487,0.841790964551587,0.8301808702195707,0.8452014297616169,0.853648310892526,0.8526593028568357,0.849176274557231
0.7316387141858837,0.7305555555555557,0.5725541579315166,0.7383298392732357,0.7283455625436757,0.7253930817610064,0.7284765897973443
0.7505175983436853,0.7039337474120083,0.6987577639751553,0.7443064182194616,0.6972049689440993,0.691511387163561,0.772256728778468
0.6505376344086023,0.7210274790919953,0.695041816009558,0.6860812425328557,0.7290919952210273,0.7332735961768221,0.665173237753883
0.8409551452605549,0.8459996237469426,0.8143674917358704,0.8449891155365638,0.843548603832406,0.8474455104947727,0.8532075573114034
0.7690775681341716,0.7628843466107617,0.6461740041928724,0.7785639412997903,0.7658280922431864,0.7608490566037736,0.758717679944095
0.74120082815735,0.6697722567287783,0.7194616977225673,0.716873706004141,0.6433747412008279,0.7101449275362316,0.746376811594203
